id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
13686161,https://www.airbnb.com/rooms/13686161,Sonder | Winthrop Square | Warm 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35548,-71.05809,Entire apartment,Entire home/apt,3,1.0,2.0,156.0,30,1124,30.0,t,25,28,28,302,46,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,257.37433576791943,5-1-0,72.83304837600477,#E64A19,True
15390344,https://www.airbnb.com/rooms/15390344,Sonder | Winthrop Square | Artsy Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35453,-71.05977,Entire apartment,Entire home/apt,2,,1.0,129.0,30,1124,30.0,t,30,60,90,365,24,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,339.567040649553,5-1-1,25.187093832680965,#E64A19,True
15390808,https://www.airbnb.com/rooms/15390808,Sonder | Winthrop Square | Lively Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35602,-71.05939000000002,Entire apartment,Entire home/apt,2,,1.0,158.0,30,1124,30.0,t,18,48,78,353,43,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,295.2188183809493,5-1-2,54.29922575858245,#E64A19,True
15390860,https://www.airbnb.com/rooms/15390860,Sonder | Winthrop Square | Cozy Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35521,-71.05955,Entire apartment,Entire home/apt,2,,1.0,129.0,30,1124,30.0,t,0,30,60,335,51,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,150.8704144821043,,,#E64A19,True
15407065,https://www.airbnb.com/rooms/15407065,Sonder | Winthrop Square | Lovely 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35422,-71.06004,Entire apartment,Entire home/apt,4,2.0,2.0,167.0,30,1124,30.0,t,0,0,5,280,68,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,473.6793643262089,5-1-1,134.85372663555037,#E64A19,True
15407347,https://www.airbnb.com/rooms/15407347,Sonder | Winthrop Square | Lovely 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35602,-71.05917,Entire apartment,Entire home/apt,3,1.0,2.0,136.0,30,1124,30.0,t,0,0,0,93,79,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,279.3665282886437,5-1-2,61.25429470621864,#E64A19,True
15407480,https://www.airbnb.com/rooms/15407480,Sonder | Winthrop Square | Lovely Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35578,-71.05778000000002,Entire apartment,Entire home/apt,2,,1.0,129.0,30,1124,30.0,t,30,60,90,365,51,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,378.7835206645646,5-1-0,65.6876267789889,#E64A19,True
15444930,https://www.airbnb.com/rooms/15444930,Sonder | Winthrop Square | Sunny Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35442000000001,-71.05847,Entire apartment,Entire home/apt,2,,1.0,150.0,30,1124,30.0,t,22,22,43,312,39,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,339.0259943576917,,,#E64A19,True
15463154,https://www.airbnb.com/rooms/15463154,Sonder | Winthrop Square | Modern Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35578,-71.05944000000002,Entire apartment,Entire home/apt,2,,1.0,158.0,30,1124,30.0,t,0,0,0,262,80,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,222.89788888849,5-1-2,52.875645336349045,#E64A19,True
16489609,https://www.airbnb.com/rooms/16489609,Sonder | Winthrop Square | Grand Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35574,-71.05998000000002,Entire apartment,Entire home/apt,2,,1.0,158.0,30,1124,30.0,t,0,0,10,285,56,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,317.3393740512497,,,#E64A19,True
21487043,https://www.airbnb.com/rooms/21487043,Sonder | Winthrop Square | Quaint Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35603,-71.05807,Entire apartment,Entire home/apt,2,,1.0,129.0,30,1124,30.0,t,1,1,1,1,13,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,374.9813432198754,5-1-0,142.33708318471355,#E64A19,True
